AccountId,ActivatedById,ActivatedDate,BillingCity,BillingCountry,BillingPostalCode,BillingState,BillingStreet,CompanySignedDate,CompanySignedId,ContractNumber,ContractTerm,CreatedById,CreatedDate,CurrencyIsoCode,CustomerSignedDate,CustomerSignedId,CustomerSignedTitle,EndDate,Id,IsDeleted,LastActivityDate,LastApprovedDate,LastModifiedById,LastModifiedDate,Name,OwnerId,Pricebook2Id,RecordTypeId,ShippingCity,ShippingCountry,ShippingPostalCode,ShippingState,ShippingStreet,SpecialTerms,StartDate,Status,StatusCode,SystemModstamp,bBonusOnHold__c,bEdgeCase__c,dAverageSalesMRR__c,dGuaranteedBookings__c,dYearlyDiscount__c,dateCancellationPeriod__c,plEdgeCaseCategory__c,plMoneyBack__c,plPaymentCycle__c,plSpecialRightOfCancellation__c,plTrial__c,refAccountmanagerCash__c,refAccountmanager__c,refBusinessOwner__c,refContactPerson__c,refOpportunity__c,refSubscription__c,strFinancialReporting_SalesChannel__c,strPaymentMethod__c,object_type
001b000003RE251AAD,005b0000001PvcTAAS,2016-07-11 08:08:34,London,GB,E10 7DU,,464 Lea Bridge Road,2016-07-08,005b0000004D20fAAC,00022173,12,005b0000004D20fAAC,2016-07-11 07:23:47,GBP,,003b000001LI7LNAA1,,2016-09-13,800b0000003xveVAAQ,False,,,005b0000002emPXAAY,2016-09-13 13:48:14,,005b0000004D20fAAC,,012b0000000DnuTAAS,,,,,,,2016-07-14,Lost Contract,Activated,2016-09-13 13:48:14,False,False,136.25,,0.0,,[],No,1m,No,,,,003b000001LI7LNAA1,003b000001LI7LNAA1,006b000000L2Rj6AAF,,Reselling,Credit Card,Contract
001b000001MVVZIAA5,005b0000001PvcTAAS,2015-10-21 08:12:36,Uzwil,CH,9240,Sankt Gallen,Bahnhofstrasse 62,2015-10-20,005b0000002PRFjAAO,00015167,36,005b0000002PRFjAAO,2015-10-20 11:27:48,CHF,,003b000000xWaGOAA0,,2018-11-01,800b0000006nb2FAAQ,False,,,005b0000003ZePVAA0,2016-09-13 13:57:32,,005b0000002PRFjAAO,,012b0000000Uc3FAAS,,,,,,,2015-11-02,Terminated in due time,Activated,2016-09-13 13:57:32,False,False,94.75,,0.0,,[],No,3m,No,No,,,003b000000xWaGOAA0,003b000000xWaGOAA0,006b000000EbJr0AAF,,Outbound_CH,Bank Transfer,Contract
001b000003RFqZUAA1,,,Madrid,ES,28004,Area Madrid,"Calle Fuencarral, 58",2016-09-13,005b00000039tQ0AAI,00023594,24,005b00000039tQ0AAI,2016-09-13 13:50:14,EUR,,003b000001LKjaPAAT,,,800b000000Cp1rNAAR,False,,,005b00000039tQ0AAI,2016-09-13 14:08:42,,005b00000039tQ0AAI,,012b0000000Uc3FAAS,,,,,,Primera cuota 15 Oct 2016,2016-10-15,Draft,Draft,2016-09-13 14:08:42,False,False,,,0.0,,[],No,1m,No,No,,005b0000003LDEpAAO,003b000001LKjaPAAT,003b000001LKjaPAAT,006b000000LQm1OAAT,,Outbound_ES,Direct debit,Contract
001b000003UcqK4AAJ,,,Madrid,ES,28001,Area Madrid,"Calle Lagasca, 7",2016-09-13,005b00000039tQ0AAI,00023595,24,005b00000039tQ0AAI,2016-09-13 14:15:48,EUR,,003b000001PcF7GAAV,,,800b000000Cp1rcAAB,False,,,005b00000039tQ0AAI,2016-09-13 14:20:33,,005b00000039tQ0AAI,,012b0000000Uc3FAAS,,,,,,Primera cuota 15 de Octubre 2016,2016-10-15,Draft,Draft,2016-09-13 14:20:33,False,False,,,0.0,,[],No,1m,No,No,,005b0000003LDEpAAO,003b000001PcF7GAAV,003b000001PcF7GAAV,006b000000MSM07AAH,,Outbound_ES,Direct debit,Contract
001b000003UcqPqAAJ,,,Madrid,ES,28028,Area Madrid,"Pza Manuel Becerra, 19",2016-09-13,005b00000039tQ0AAI,00023596,24,005b00000039tQ0AAI,2016-09-13 14:22:54,EUR,,003b000001PcFECAA3,,,800b000000Cp1rhAAB,False,,,005b00000039tQ0AAI,2016-09-13 14:26:23,,005b00000039tQ0AAI,,012b0000000Uc3FAAS,,,,,,Primera cuota 15 de Octubre 20166,2016-10-15,Draft,Draft,2016-09-13 14:26:23,False,False,,,0.0,,[],No,1m,No,No,,005b0000003LDEpAAO,003b000001PcFECAA3,003b000001PcFECAA3,006b000000MSM1oAAH,,Outbound_ES,Direct debit,Contract
001b000003U0Z8RAAV,005b00000038AwiAAE,2016-08-29 07:59:28,Sabadell,ES,08202,,Rambla 151,2016-08-16,005b00000039tQ0AAI,00022795,24,005b0000002l2LiAAI,2016-08-17 10:35:08,EUR,,003b000001NcgvgAAB,,,800b00000095N12AAE,False,,,005b00000021Tk4AAE,2016-09-13 14:34:04,,005b00000039tQ0AAI,,012b0000000Uc3FAAS,,,,,,,2016-08-29,Signed,Activated,2016-09-13 14:34:04,False,True,59.0,,0.0,,['Discount'],No,1m,No,No,,005b0000003ALq6AAG,003b000001NcgvgAAB,003b000001NcgvgAAB,006b000000LTGneAAH,,Outbound_ES,Bank Transfer,Contract
001b000000Nx0f3AAB,005b0000003Yw8VAAS,2016-08-26 07:49:10,Basel,CH,4054,,Neuweilerstr. 19,2016-08-25,005b0000000w6iwAAA,00023055,12,005b0000001QAr5AAG,2016-08-25 09:07:00,CHF,,003b000000WTvFjAAL,,,800b000000CozDVAAZ,False,,,005b00000021Tk4AAE,2016-09-13 14:35:59,,005b0000001QAr5AAG,,012b0000000Uc3FAAS,,,,,,,2016-09-12,Signed,Activated,2016-09-13 14:35:59,False,False,219.18,,0.0,,[],No,1m,No,No,005b0000002PQJQAA4,005b0000003Nja3AAC,003b000000WTvFjAAL,003b000000McpKiAAJ,006b0000006JgutAAC,a2Lb00000000DbaEAE,Inbound_DE,Credit Card,Contract
001b000000qIkXTAA0,005b0000003Yw8VAAS,2016-08-09 16:08:29,Rapperswil,CH,8640,Schwyz,Marktgasse 20,2016-08-09,005b0000001PYraAAG,00022708,12,005b0000001PYraAAG,2016-08-09 13:50:36,CHF,,003b000000r5QoGAAU,,,800b00000095M6HAAU,False,,,005b00000021Tk4AAE,2016-09-13 14:38:06,,005b0000001PYraAAG,,012b0000000Uc3FAAS,,,,,,,2016-09-01,Signed,Activated,2016-09-13 14:38:06,False,False,113.9,,0.0,,[],No,3m,No,No,,005b0000003Nja3AAC,003b000000r5QoGAAU,003b000000r5QoGAAU,006b000000DG6ozAAD,,Outbound_CH,Bank Transfer,Contract
