CreatedById,CreatedDate,CurrencyIsoCode,Id,IsDeleted,LastActivityDate,LastModifiedById,LastModifiedDate,Name,ONB2__Account__c,ONB2__Amount__c,ONB2__Date__c,ONB2__Dunning__c,ONB2__Invoice__c,ONB2__NoAutoAssignment__c,ONB2__PaymentMethod__c,ONB2__PaymentProvider__c,ONB2__Reference__c,ONB2__RelatedInvoice__c,ONB2__Subscription__c,ONB2__TransactionNo__c,ONB2__Type__c,SystemModstamp,object_type
005b0000003Yw8VAAS,2016-09-13 13:51:43,EUR,a0Qb00000094neLEAQ,False,,005b0000003Yw8VAAS,2016-09-13 13:51:43,B-0000072962,001b000003ObRj6AAF,95.2,2016-09-11,,a24b0000000yzYmAAI,False,,,,,,,Invoice,2016-09-13 13:51:44,ONB2__Balance__c
005b0000003Yw8VAAS,2016-09-13 13:55:05,EUR,a0Qb00000094neaEAA,False,,005b0000003Yw8VAAS,2016-09-13 13:55:05,B-0000072963,001b000003RC1qJAAT,270.13,2016-09-11,,a24b0000000yzeiAAA,False,,,,,,,Invoice,2016-09-13 13:55:05,ONB2__Balance__c
005b0000003Yw8VAAS,2016-09-13 14:08:37,CHF,a0Qb00000094nf9EAA,False,,005b0000003Yw8VAAS,2016-09-13 14:08:37,B-0000072964,001b000002NK5VvAAL,1240.4,2016-09-13,,a24b0000000z0HVAAY,False,,,,,,,Invoice,2016-09-13 14:08:37,ONB2__Balance__c
005b0000003Yw8VAAS,2016-09-13 14:24:45,EUR,a0Qb00000094nfjEAA,False,,005b0000003Yw8VAAS,2016-09-13 14:24:45,B-0000072965,001b000003HTVHlAAP,142.78,2016-09-11,,a24b0000000yzZSAAY,False,,,,,,,Invoice,2016-09-13 14:24:45,ONB2__Balance__c
005b0000003Yw8VAAS,2016-09-13 14:26:38,EUR,a0Qb00000094nftEAA,False,,005b0000003Yw8VAAS,2016-09-13 14:26:38,B-0000072966,001b000003RFOr1AAH,143.99,2016-09-11,,a24b0000000yzlkAAA,False,,,,,,,Invoice,2016-09-13 14:26:38,ONB2__Balance__c
005b0000003Yw8VAAS,2016-09-13 14:32:10,EUR,a0Qb00000094ngDEAQ,False,,005b0000003Yw8VAAS,2016-09-13 14:32:10,B-0000072967,001b000003LF2g0AAD,181.5,2016-09-11,,a24b0000000yzi8AAA,False,,,,,,,Invoice,2016-09-13 14:32:10,ONB2__Balance__c
005b0000003Yw8VAAS,2016-09-13 14:38:50,GBP,a0Qb00000094ngIEAQ,False,,005b0000003Yw8VAAS,2016-09-13 14:38:50,B-0000072968,001b000003U0Ye6AAF,110.25,2016-09-11,,a24b0000000yzoFAAQ,False,,,,,,,Invoice,2016-09-13 14:38:50,ONB2__Balance__c
005b0000003Yw8VAAS,2016-09-13 14:40:21,GBP,a0Qb00000094ngSEAQ,False,,005b0000003Yw8VAAS,2016-09-13 14:40:21,B-0000072969,001b000003O1dG2AAJ,170.17,2016-09-11,,a24b0000000yzgCAAQ,False,,,,,,,Invoice,2016-09-13 14:40:21,ONB2__Balance__c
005b0000003Yw8VAAS,2016-09-13 14:42:16,GBP,a0Qb00000094ngXEAQ,False,,005b0000003Yw8VAAS,2016-09-13 14:42:16,B-0000072970,001b000003U1KtBAAV,213.01,2016-09-11,,a24b0000000yzuZAAQ,False,,,,,,,Invoice,2016-09-13 14:42:16,ONB2__Balance__c
